City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
419,muros,42.7762,-9.0603,11.79,68,0,3.14,ES,1675880718
420,rundu,-17.9333,19.7667,23.82,68,93,2.25,NA,1675880720
421,inirida,3.8653,-67.9239,27.92,74,83,0.36,CO,1675880721
422,tautira,-17.7333,-149.15,26.39,74,7,3.09,PF,1675880723
423,bonthe,7.5264,-12.505,27.2,66,63,5.2,SL,1675880724
424,jalcocotan,21.4667,-105.1167,29.34,32,9,2.19,MX,1675880726
425,inuvik,68.3499,-133.7218,-29.52,76,75,0.0,CA,1675880727
426,gazanjyk,39.2446,55.5154,7.68,75,100,3.76,TM,1675880727
427,namibe,-15.1961,12.1522,22.92,71,99,5.94,AO,1675880728
428,francisco beltrao,-26.0811,-53.055,32.49,29,4,1.62,BR,1675880449
429,karratha,-20.7377,116.8463,30.0,65,34,1.97,AU,1675880732
430,dali,25.7,100.1833,5.05,60,0,2.4,CN,1675880732
431,elizabethtown,37.694,-85.8591,13.2,81,100,2.06,US,1675880734
432,izacic,44.875,15.7819,-4.28,87,100,2.22,BA,1675880735
433,gwanda,-20.9333,29.0,24.71,52,88,0.44,ZW,1675880735
434,kalmunai,7.4167,81.8167,24.75,86,68,2.94,LK,1675880736
435,guayaramerin,-10.8368,-65.3614,29.03,74,75,1.54,BO,1675880736
436,rudraprayag,30.2833,78.9833,12.18,39,3,1.65,IN,1675880738
437,khrisokhorafa,41.1833,23.2333,-0.61,44,10,0.5,GR,1675880738
438,olavarria,-36.8927,-60.3225,36.89,19,0,2.28,AR,1675880739
439,oriximina,-1.7656,-55.8661,31.8,54,72,1.66,BR,1675880740
440,san quintin,30.4833,-115.95,17.16,33,27,0.88,MX,1675880740
441,ozinki,51.1786,49.6769,-17.02,93,11,2.35,RU,1675880662
442,comodoro rivadavia,-45.8667,-67.5,30.92,19,0,7.2,AR,1675880582
443,volot,57.9278,30.7025,0.03,94,100,3.5,RU,1675880741
444,chiautla,19.5333,-98.8833,21.6,28,0,2.11,MX,1675880743
445,monaghan,54.25,-6.9667,7.99,90,100,8.65,IE,1675880743
446,rawlins,41.7911,-107.2387,-2.06,59,0,11.32,US,1675880744
447,bakel,14.905,-12.4568,35.45,9,47,3.95,SN,1675880744
448,owando,-0.4819,15.8999,28.45,38,39,0.22,CG,1675880745
449,biak,-0.9131,122.8766,23.99,82,100,1.91,ID,1675880745
450,xuddur,4.1213,43.8894,27.7,32,3,4.54,SO,1675880746
451,peniche,39.3558,-9.3811,12.38,74,94,9.48,PT,1675880746
452,usinsk,65.9939,57.5281,-1.59,86,100,13.49,RU,1675880458
453,enshi,30.3,109.4833,7.66,95,100,0.66,CN,1675880747
454,viedma,-40.8135,-62.9967,30.17,19,2,5.42,AR,1675880716
455,carora,10.1755,-70.0827,33.77,32,59,5.17,VE,1675880748
456,port lincoln,-34.7333,135.8667,18.58,80,55,4.94,AU,1675880748
457,bundu,23.1833,85.5833,20.12,31,0,2.29,IN,1675880749
458,basti,26.8,82.7167,12.9,48,0,3.55,IN,1675880749
459,fort-shevchenko,44.5086,50.263,-2.77,87,100,10.4,KZ,1675880749
460,umba,66.6871,34.3429,-0.94,83,82,7.26,RU,1675880750
461,mwinilunga,-11.7358,24.4293,16.75,91,97,2.01,ZM,1675880750
462,grindavik,63.8424,-22.4338,-3.03,86,75,14.4,IS,1675880751
463,vryburg,-26.9566,24.7284,17.8,81,100,6.23,ZA,1675880577
464,phan thiet,10.9333,108.1,23.11,85,20,3.82,VN,1675880751
465,saint-pierre,-21.3393,55.4781,25.82,78,0,7.72,RE,1675880660
466,kuytun,54.3419,101.5036,-17.65,98,93,1.55,RU,1675880752
467,chumikan,54.7183,135.315,-30.28,89,87,6.38,RU,1675880752
468,tromso,69.6496,18.957,6.01,70,75,18.01,NO,1675880752
469,porto novo,6.4965,2.6036,28.9,75,72,4.2,BJ,1675880753
470,dax,43.75,-1.1667,9.66,75,0,2.06,FR,1675880753
471,russell,32.3502,-85.1999,25.11,50,75,2.57,US,1675880637
472,zhigalovo,54.8097,105.1578,-22.66,100,98,0.63,RU,1675880754
473,conakry,9.538,-13.6773,29.04,65,2,3.09,GN,1675880754
474,biharamulo,-2.6319,31.3089,16.75,92,60,1.88,TZ,1675880755
475,lohardaga,23.4333,84.6833,14.6,36,0,2.66,IN,1675880755
476,plettenberg bay,-34.0527,23.3716,19.63,80,81,7.55,ZA,1675880756
477,tessalit,20.1986,1.0114,25.99,13,60,5.19,ML,1675880756
478,tezu,27.9167,96.1667,14.63,60,20,1.91,IN,1675880756
479,nelson bay,-32.7167,152.15,22.78,85,32,3.13,AU,1675880757
480,jimani,18.4917,-71.8502,31.94,29,0,3.74,DO,1675880757
481,honiara,-9.4333,159.95,25.83,85,100,1.44,SB,1675880758
482,roebourne,-20.7833,117.1333,30.08,66,19,2.26,AU,1675880758
483,zhigansk,66.7697,123.3711,-41.55,98,100,3.2,RU,1675880625
484,yaring,6.8662,101.3689,24.5,85,33,4.04,TH,1675880759
485,boueni,-12.9025,45.0761,27.99,74,84,2.71,YT,1675880759
486,ca mau,9.1769,105.15,24.75,86,9,3.98,VN,1675880760
487,saint-joseph,-21.3667,55.6167,25.21,81,43,5.67,RE,1675880675
488,turiacu,-1.6633,-45.3717,27.05,83,84,2.65,BR,1675880760
489,petropavlovsk-kamchatskiy,53.0452,158.6483,-18.46,85,40,2.0,RU,1675880760
490,malumfashi,11.7853,7.6218,24.96,14,100,4.06,NG,1675880761
491,saint anthony,45.0205,-93.218,4.03,66,0,5.14,US,1675880571
492,do gonbadan,30.3586,50.7981,10.05,53,20,5.14,IR,1675880762
493,diyarb najm,30.7542,31.4393,7.31,62,77,3.31,EG,1675880763
494,maceio,-9.6658,-35.7353,29.69,61,75,5.66,BR,1675880707
495,bullhead city,35.1478,-114.5683,17.06,32,40,7.2,US,1675880554
496,jablah,35.3614,35.9256,5.16,65,75,2.06,SY,1675880530
497,arlit,18.7369,7.3853,26.67,12,27,2.03,NE,1675880764
498,kaitangata,-46.2817,169.8464,8.9,74,52,5.9,NZ,1675880765
499,suhbaatar,50.2314,106.2078,-27.13,100,83,0.55,MN,1675880767
500,dalbandin,28.8947,64.4101,21.13,34,100,5.72,PK,1675880768
501,edirne,41.6772,26.556,-2.33,73,73,6.79,TR,1675880768
502,auki,-8.7676,160.7034,24.94,88,100,2.23,SB,1675880769
503,kultuk,51.7208,103.6956,-16.73,92,64,2.01,RU,1675880770
504,calvinia,-31.4707,19.776,21.76,53,60,8.49,ZA,1675880771
505,kasongo-lunda,-6.4667,16.8167,22.22,87,55,0.83,CD,1675880772
506,acapulco,16.8634,-99.8901,29.9,62,0,3.6,MX,1675880755
507,aktau,43.65,51.2,-3.68,75,100,10.11,KZ,1675880773
508,grand gaube,-20.0064,57.6608,26.32,77,99,2.68,MU,1675880748
509,svetlyy,54.675,20.1347,0.03,81,74,5.4,RU,1675880774
510,dryden,49.7833,-92.7503,-1.84,74,100,3.09,CA,1675880775
511,brandfort,-28.7001,26.4597,15.67,92,100,4.95,ZA,1675880776
512,lamani,14.2,-87.6167,27.9,31,6,3.27,HN,1675880777
513,dourbali,11.8091,15.8632,28.06,14,99,4.62,TD,1675880777
514,lakselv,70.0513,24.9718,4.9,60,0,16.98,NO,1675880778
515,taybad,34.74,60.7756,9.41,76,89,8.93,IR,1675880780
516,kununurra,-15.7667,128.7333,27.99,89,75,0.51,AU,1675880756
517,uglegorsk,49.0833,142.0333,-24.43,99,99,2.91,RU,1675880780
518,dalnerechensk,45.9339,133.7225,-19.93,98,98,1.64,RU,1675880781
519,tura,25.5198,90.2201,16.6,52,22,1.64,IN,1675880782
520,marang,5.2056,103.2059,25.95,86,78,0.77,MY,1675880783
521,khani,41.9563,42.9566,-1.24,97,98,0.73,GE,1675880784
522,batticaloa,7.7102,81.6924,25.44,84,70,3.43,LK,1675880760
523,simao,22.7886,100.9748,10.28,41,0,0.4,CN,1675880785
524,dicabisagan,17.0818,122.4157,23.25,84,97,0.39,PH,1675880787
525,coahuayana,18.7333,-103.6833,29.78,46,0,2.59,MX,1675880789
526,progreso,21.2833,-89.6667,32.06,52,0,4.74,MX,1675880789
527,faya,18.3851,42.4509,14.06,69,97,0.95,SA,1675880790
528,churapcha,62.0025,132.4325,-42.79,100,99,0.99,RU,1675880791
529,mitchell,43.7094,-98.0298,1.17,74,0,4.47,US,1675880505
530,ritterhude,53.1811,8.7216,2.03,67,0,4.63,DE,1675880792
531,abengourou,6.7297,-3.4964,30.49,49,88,1.96,CI,1675880793
532,los llanos de aridane,28.6585,-17.9182,15.86,70,75,2.06,ES,1675880793
533,ust-nera,64.5667,143.2,-41.14,98,91,0.37,RU,1675880794
534,oconomowoc,43.1117,-88.4993,6.88,58,0,2.57,US,1675880717
535,atar,20.5169,-13.0499,25.48,13,100,4.56,MR,1675880796
536,tianpeng,30.9866,103.9393,11.46,92,99,2.64,CN,1675880796
537,sorong,-0.8833,131.25,25.95,84,100,8.1,ID,1675880797
538,kenai,60.5544,-151.2583,-5.95,86,100,2.57,US,1675880797
539,hirna,9.2167,41.1,17.43,48,10,2.2,ET,1675880798
540,svetlaya,46.5389,138.3297,-15.92,68,4,2.86,RU,1675880799
541,great bend,38.3645,-98.7648,10.02,43,0,1.54,US,1675880519
542,challans,46.8436,-1.8749,5.11,78,0,3.42,FR,1675880799
543,sidi ali,36.0998,0.4206,11.19,78,3,4.17,DZ,1675880800
544,pontypridd,51.6021,-3.3421,5.67,86,35,0.45,GB,1675880800
545,otaki,-40.7583,175.15,14.6,81,30,1.17,NZ,1675880801
546,inongo,-1.95,18.2667,25.65,73,67,0.92,CD,1675880801
547,celestun,20.8667,-90.4,29.34,54,11,3.81,MX,1675880802
548,port-gentil,-0.7193,8.7815,27.98,83,20,3.09,GA,1675880802
549,hofn,64.2539,-15.2082,-2.86,53,47,3.88,IS,1675880802
550,cascais,38.6979,-9.4215,13.06,72,75,6.71,PT,1675880803
